S.No.,Fighter Name,Height,Weight,Reach,Stance,DOB
37,Gabriel Santos,5.09,145 lbs.,"70""",Orthodox,"Nov 28, 1996"
38,Yizha,5.07,145 lbs.,"71""",Orthodox,"Jan 08, 1997"
39,Jaqueline Amorim,5.03,115 lbs.,"68""",Orthodox,"Jun 24, 1995"
40,Vanessa Demopoulos,5.02,115 lbs.,"59""",Orthodox,"Sep 22, 1988"
41,Andre Petroski,6.0,185 lbs.,"73""",Switch,"Jun 12, 1991"
42,Dylan Budka,6.0,185 lbs.,"75""",Switch,"Jan 14, 2000"
43,Nathan Fletcher,5.07,145 lbs.,"70""",Orthodox,"Jan 03, 1998"
44,Zygimantas Ramaska,5.01,145 lbs.,"71""",Orthodox,"Dec 27, 1996"
45,Caio Borralho,6.01,185 lbs.,"75""",Southpaw,"Jan 16, 1993"
46,Jared Cannonier,5.01,185 lbs.,"77""",Switch,"Mar 16, 1984"
47,Tabatha Ricci,5.01,115 lbs.,"61""",Orthodox,"Feb 21, 1995"
48,Angela Hill,5.03,115 lbs.,"64""",Orthodox,"Jan 12, 1985"
49,Ryan Loder,6.02,185 lbs.,"76""",Southpaw,"Jun 05, 1991"
50,Robert Valentin,6.02,185 lbs.,"77""",Orthodox,"Mar 31, 1995"
51,Mairon Santos,5.07,145 lbs.,"72""",Orthodox,"Jun 10, 2000"
52,Kaan Ofli,5.07,145 lbs.,"66""",Orthodox,"Jun 19, 1993"
53,Michael Morales,6.0,170 lbs.,"79""",Orthodox,"Jun 24, 1999"
54,Neil Magny,6.03,170 lbs.,"80""",Orthodox,"Aug 03, 1987"
55,Gerald Meerschaert,6.01,185 lbs.,"77""",Southpaw,"Dec 18, 1987"
56,Edmen Shahbazyan,6.03,185 lbs.,"75""",Orthodox,"Nov 20, 1997"
57,Francis Marshall,5.09,145 lbs.,"72""",Orthodox,"Mar 03, 1999"
58,Dennis Buzukja,5.09,145 lbs.,"70""",Switch,"Oct 01, 1997"
59,Zachary Reese,6.04,185 lbs.,"77""",Switch,"Mar 24, 1994"
60,Jose Daniel Medina,6.0,185 lbs.,"74""",Orthodox,"May 17, 1991"
61,Viacheslav Borshchev,5.01,155 lbs.,"69""",Orthodox,"Jan 08, 1992"
62,James Llontop,6.0,155 lbs.,"73""",Orthodox,"Aug 02, 1999"
63,Jacqueline Cavalcanti,5.08,135 lbs.,"70""",Orthodox,"Aug 29, 1997"
64,Josiane Nunes,5.02,135 lbs.,"67""",Southpaw,"Dec 23, 1993"
65,Wang Cong,5.06,125 lbs.,"66""",Southpaw,"May 15, 1992"
66,Victoria Leonardo,5.05,125 lbs.,"64""",Orthodox,"Feb 16, 1990"
67,Dricus Du Plessis,6.01,185 lbs.,"76""",Switch,"Jan 14, 1994"
68,Israel Adesanya,6.04,185 lbs.,"80""",Switch,"Jul 22, 1989"
69,Kai Kara-France,5.04,125 lbs.,"69""",Orthodox,"Mar 26, 1993"
70,Steve Erceg,5.08,125 lbs.,"68""",Orthodox,"Jul 27, 1995"
71,Dan Hooker,6.0,155 lbs.,"75""",Switch,"Feb 13, 1990"
72,Mateusz Gamrot,5.01,155 lbs.,"70""",Southpaw,"Dec 11, 1990"
73,Jairzinho Rozenstruik,6.02,242 lbs.,"78""",Orthodox,"Mar 17, 1988"
74,Tai Tuivasa,6.02,264 lbs.,"75""",Southpaw,"Mar 16, 1993"
75,Carlos Prates,6.01,170 lbs.,"78""",Switch,"Aug 17, 1993"
76,Li Jingliang,6.0,170 lbs.,"71""",Orthodox,"Mar 20, 1988"
77,Valter Walker,6.06,265 lbs.,"78""",Orthodox,"Dec 14, 1997"
78,Junior Tafa,6.03,240 lbs.,"75""",Orthodox,"Sep 21, 1996"
79,Ricardo Ramos,5.09,145 lbs.,"72""",Orthodox,"Aug 01, 1995"
80,Josh Culibao,5.01,145 lbs.,"73""",Orthodox,"May 24, 1994"
81,Casey O'Neill,5.06,125 lbs.,"69""",Orthodox,"Oct 07, 1997"
82,Luana Santos,5.06,125 lbs.,"67""",Orthodox,"Apr 16, 2000"
83,Jack Jenkins,5.07,145 lbs.,"68""",Switch,"Nov 03, 1993"
84,Herbert Burns,5.09,145 lbs.,"73""",Orthodox,"Feb 02, 1988"
85,Tom Nolan,6.03,155 lbs.,"73""",Southpaw,"Mar 08, 2000"
86,Alex Reyes,5.01,155 lbs.,"73""",Orthodox,"Oct 02, 1986"
87,Song Kenan,6.0,170 lbs.,"71""",Orthodox,"Mar 10, 1990"
88,Ricky Glenn,6.0,170 lbs.,"70""",Southpaw,"Apr 12, 1989"
89,Jesus Aguilar,5.04,125 lbs.,"62""",Orthodox,"Mar 13, 1996"
90,Stewart Nicoll,5.05,125 lbs.,"65""",Orthodox,"Nov 04, 1994"
91,Serghei Spivac,6.03,260 lbs.,"78""",Orthodox,"Jan 24, 1995"
92,Marcin Tybura,6.03,249 lbs.,"78""",Orthodox,"Nov 09, 1985"
93,Chepe Mariscal,5.07,145 lbs.,"69""",Orthodox,"Oct 27, 1992"
94,Damon Jackson,5.01,145 lbs.,"71""",Switch,"Aug 08, 1988"
95,Danny Barlow,6.02,170 lbs.,"79""",Southpaw,"Aug 02, 1995"
96,Nikolay Veretennikov,6.01,170 lbs.,"75""",Orthodox,"Dec 22, 1989"
97,Chris Gutierrez,5.09,135 lbs.,"67""",Orthodox,"Apr 22, 1991"
98,Quang Le,5.06,135 lbs.,"70""",Orthodox,"Oct 18, 1991"
99,Yana Santos,5.06,135 lbs.,"68""",Orthodox,"Nov 11, 1989"
100,Chelsea Chandler,5.08,135 lbs.,"68""",Southpaw,"Nov 23, 1990"
101,Toshiomi Kazama,5.07,135 lbs.,"69""",Orthodox,"May 15, 1997"
102,Charalampos Grigoriou,5.07,135 lbs.,"67""",Orthodox,"Mar 31, 1992"
103,Karol Rosa,5.05,135 lbs.,"67""",Orthodox,"Dec 30, 1994"
104,Pannie Kianzad,5.07,135 lbs.,"66""",Orthodox,"Dec 08, 1991"
105,Jhonata Diniz,6.04,254 lbs.,"79""",Orthodox,"Jun 23, 1991"
106,Karl Williams,6.03,235 lbs.,"79""",Orthodox,"Jan 06, 1990"
107,Youssef Zalal,5.01,145 lbs.,"72""",Switch,"Sep 04, 1996"
108,Jarno Errens,5.01,145 lbs.,"73""",Orthodox,"Nov 17, 1994"
109,Stephanie Luciano,5.06,115 lbs.,"65""",Orthodox,"Dec 16, 1999"
110,Talita Alencar,5.01,115 lbs.,"58""",Orthodox,"Oct 17, 1990"
111,Umar Nurmagomedov,5.08,135 lbs.,"69""",Orthodox,"Jan 03, 1996"
112,Cory Sandhagen,5.01,135 lbs.,"70""",Switch,"Apr 20, 1992"
113,Shara Magomedov,6.02,185 lbs.,"73""",Orthodox,"May 16, 1994"
114,Michal Oleksiejczuk,6.0,185 lbs.,"74""",Southpaw,"Feb 22, 1995"
115,Deiveson Figueiredo,5.05,135 lbs.,"68""",Orthodox,"Dec 18, 1987"
116,Marlon Vera,5.08,135 lbs.,"70""",Switch,"Dec 02, 1992"
117,Michael Chiesa,6.01,170 lbs.,"75""",Southpaw,"Dec 07, 1987"
118,Tony Ferguson,5.01,170 lbs.,"76""",Orthodox,"Feb 12, 1984"
119,Mackenzie Dern,5.04,115 lbs.,"63""",Orthodox,"Mar 24, 1993"
120,Loopy Godinez,5.02,115 lbs.,"61""",Orthodox,"Sep 06, 1993"
121,Joel Alvarez,6.03,155 lbs.,"77""",Orthodox,"Mar 02, 1993"
122,Elves Brener,5.01,155 lbs.,"72""",Orthodox,"Sep 27, 1997"
123,Azamat Murzakanov,5.01,205 lbs.,"71""",Southpaw,"Apr 12, 1989"
124,Alonzo Menifield,6.0,205 lbs.,"76""",Orthodox,"Oct 18, 1987"
125,Kaue Fernandes,5.09,155 lbs.,"73""",Orthodox,"Mar 17, 1995"
126,Mohammad Yahya,5.09,155 lbs.,"73""",Switch,"May 23, 1994"
127,Shamil Gaziev,6.04,265 lbs.,"78""",Orthodox,"Feb 10, 1990"
128,Don'Tale Mayes,6.06,260 lbs.,"81""",Orthodox,"Jan 16, 1992"
129,Guram Kutateladze,5.01,155 lbs.,"72""",Orthodox,"Jan 08, 1992"
130,Jordan Vucenic,5.01,155 lbs.,"73""",Orthodox,"Mar 02, 1996"
131,Sam Hughes,5.05,115 lbs.,"64""",Orthodox,"Jun 28, 1992"
132,Viktoriia Dudakova,5.05,115 lbs.,"67""",Orthodox,"Jan 26, 1999"
133,Jai Herbert,6.01,155 lbs.,"77""",Orthodox,"May 13, 1988"
134,Rolando Bedoya,5.01,155 lbs.,"74""",Orthodox,"Jan 13, 1997"
135,Sedriques Dumas,6.02,185 lbs.,"79""",Orthodox,"Aug 06, 1995"
136,Denis Tiuliulin,6.01,185 lbs.,"77""",Orthodox,"May 17, 1988"
137,Belal Muhammad,5.01,170 lbs.,"72""",Orthodox,"Jul 09, 1988"
138,Leon Edwards,6.02,170 lbs.,"74""",Southpaw,"Aug 25, 1991"
139,Tom Aspinall,6.05,256 lbs.,"78""",Orthodox,"Apr 11, 1993"
140,Curtis Blaydes,6.04,265 lbs.,"80""",Orthodox,"Feb 18, 1991"
141,Paddy Pimblett,5.01,155 lbs.,"73""",Orthodox,"Jan 03, 1995"
142,King Green,5.01,155 lbs.,"71""",Orthodox,"Sep 09, 1986"
143,Gregory Rodrigues,6.03,185 lbs.,"75""",Orthodox,"Feb 17, 1992"
144,Christian Leroy Duncan,6.02,185 lbs.,"79""",Switch,"Jul 24, 1995"
145,Arnold Allen,5.08,145 lbs.,"70""",Southpaw,"Jan 22, 1994"
146,Giga Chikadze,6.0,145 lbs.,"74""",Orthodox,"Aug 25, 1988"
147,Nathaniel Wood,5.06,145 lbs.,"69""",Orthodox,"May 08, 1993"
148,Daniel Pineda,5.07,145 lbs.,"69""",Orthodox,"Aug 06, 1985"
149,Bruna Brasil,5.06,115 lbs.,"65""",Orthodox,"Sep 07, 1993"
150,Molly McCann,5.04,115 lbs.,"62""",Orthodox,"May 04, 1990"
151,Jake Hadley,5.07,135 lbs.,"70""",Southpaw,"Aug 03, 1996"
152,Caolan Loughran,5.06,135 lbs.,"68""",Orthodox,"May 18, 1996"
153,Muhammad Mokaev,5.07,125 lbs.,"70""",Orthodox,"Jul 30, 2000"
154,Manel Kape,5.05,125 lbs.,"68""",Southpaw,"Nov 14, 1993"
155,Oban Elliott,6.0,170 lbs.,"72""",Orthodox,"Dec 19, 1997"
156,Preston Parsons,5.01,170 lbs.,"71""",Orthodox,"Jul 15, 1995"
157,Modestas Bukauskas,6.03,205 lbs.,"78""",Switch,"Feb 10, 1994"
158,Marcin Prachnio,6.03,205 lbs.,"74""",Orthodox,"Jul 14, 1988"
159,Sam Patterson,6.03,170 lbs.,"78""",Orthodox,"Apr 30, 1996"
160,Kiefer Crosbie,5.01,170 lbs.,"70""",Switch,"Apr 05, 1990"
161,Mick Parkin,6.04,265 lbs.,"79""",Orthodox,"Oct 02, 1995"
162,Lukasz Brzeski,6.04,236 lbs.,"78""",Orthodox,"May 17, 1992"
163,Shauna Bannon,5.05,115 lbs.,"65""",Switch,"Oct 23, 1993"
164,Alice Ardelean,5.03,115 lbs.,"62""",Orthodox,"Apr 19, 1992"
165,Virna Jandiroba,5.03,115 lbs.,"64""",Orthodox,"May 30, 1988"
166,Amanda Lemos,5.04,115 lbs.,"65""",Southpaw,"May 22, 1987"
167,SeungWoo Choi,6.0,145 lbs.,"74""",Orthodox,"Nov 03, 1992"
168,Kurt Holobaugh,5.01,155 lbs.,"70""",Orthodox,"Sep 08, 1986"
169,Kaynan Kruschewsky,6.0,155 lbs.,"73""",Orthodox,"Apr 04, 1991"
170,Bruno Silva,5.04,125 lbs.,"65""",Orthodox,"Mar 16, 1990"
171,Dooho Choi,5.01,145 lbs.,"70""",Orthodox,"Apr 10, 1991"
172,Bill Algeo,6.0,145 lbs.,"73""",Switch,"Jun 09, 1989"
173,Hyder Amil,5.09,145 lbs.,"70""",Switch,"May 28, 1990"
174,JeongYeong Lee,5.01,145 lbs.,"73""",Orthodox,"Nov 13, 1995"
175,Cody Gibson,5.01,135 lbs.,"71""",Orthodox,"Sep 11, 1987"
176,Brian Kelleher,5.06,135 lbs.,"66""",Switch,"Aug 19, 1986"
177,Miranda Maverick,5.03,125 lbs.,"65""",Southpaw,"Jul 01, 1997"
178,Dione Barbosa,5.06,125 lbs.,"66""",Orthodox,"May 08, 1992"
179,Trey Ogden,5.01,155 lbs.,"72""",Orthodox,"Nov 14, 1989"
180,Loik Radzhabov,5.01,155 lbs.,"69""",Orthodox,"Sep 17, 1990"
181,Luana Carolina,5.06,125 lbs.,"69""",Orthodox,"Jun 11, 1993"
182,Lucie Pudilova,5.08,125 lbs.,"67""",Orthodox,"Jun 13, 1994"
183,Thomas Petersen,6.01,264 lbs.,"74""",Southpaw,"Mar 30, 1995"
184,Mohammed Usman,6.02,239 lbs.,"79""",Orthodox,"Apr 01, 1989"
185,Rose Namajunas,5.05,125 lbs.,"65""",Orthodox,"Jun 29, 1992"
186,Tracy Cortez,5.05,125 lbs.,"65""",Orthodox,"Dec 10, 1993"
187,Muslim Salikhov,5.01,170 lbs.,"70""",Orthodox,"Jun 09, 1984"
188,Santiago Ponzinibbio,6.0,170 lbs.,"73""",Orthodox,"Sep 26, 1986"
189,Jean Silva,5.07,145 lbs.,"69""",Orthodox,"Dec 27, 1996"
190,Drew Dober,5.08,155 lbs.,"70""",Southpaw,"Oct 19, 1988"
191,Gabriel Bonfim,6.01,170 lbs.,"72""",Orthodox,"Aug 20, 1997"
192,Ange Loosa,5.01,170 lbs.,"74""",Orthodox,"Mar 18, 1993"
193,Julian Erosa,6.01,145 lbs.,"74""",Southpaw,"Jul 31, 1989"
194,Christian Rodriguez,5.07,145 lbs.,"71""",Orthodox,"Dec 17, 1997"
195,Abdul Razak Alhassan,5.01,185 lbs.,"73""",Orthodox,"Aug 11, 1985"
196,Cody Brundage,6.0,185 lbs.,"72""",Orthodox,"May 16, 1994"
197,Charles Johnson,5.09,125 lbs.,"70""",Switch,"Jan 10, 1991"
198,Jasmine Jasudavicius,5.07,125 lbs.,"68""",Orthodox,"Mar 01, 1989"
199,Fatima Kline,5.06,115 lbs.,"67""",Orthodox,"Jul 12, 2000"
200,Montel Jackson,5.01,135 lbs.,"75""",Southpaw,"Apr 24, 1992"
201,Da'Mon Blackshear,5.01,135 lbs.,"72""",Switch,"Aug 12, 1994"
202,Mariya Agapova,5.06,125 lbs.,"68""",Southpaw,"Apr 07, 1997"
203,Josh Fremd,6.04,185 lbs.,"76""",Orthodox,"Jan 15, 1994"
204,Evan Elder,5.01,155 lbs.,"72""",Switch,"Apr 11, 1997"
205,Darrius Flowers,5.09,155 lbs.,"71""",Orthodox,"Aug 25, 1994"
206,Alex Pereira,6.04,205 lbs.,"79""",Orthodox,"Jul 07, 1987"
207,Jiri Prochazka,6.03,205 lbs.,"80""",Orthodox,"Oct 14, 1992"
208,Dan Ige,5.07,145 lbs.,"71""",Orthodox,"Aug 06, 1991"
209,Roman Dolidze,6.02,185 lbs.,"76""",Orthodox,"Jul 15, 1988"
210,Anthony Smith,6.04,205 lbs.,"76""",Orthodox,"Jul 26, 1988"
211,Macy Chiasson,5.01,135 lbs.,"72""",Orthodox,"Jul 27, 1991"
212,Mayra Bueno Silva,5.06,135 lbs.,"66""",Orthodox,"Aug 22, 1991"
213,Ian Machado Garry,6.03,170 lbs.,"74""",Orthodox,"Nov 17, 1997"
214,Michael Page,6.03,170 lbs.,"79""",Switch,"Apr 07, 1987"
215,Joe Pyfer,6.02,185 lbs.,"75""",Orthodox,"Sep 17, 1996"
216,Marc-Andre Barriault,6.01,185 lbs.,"74""",Orthodox,"Feb 18, 1990"
217,Andre Fili,5.01,145 lbs.,"74""",Orthodox,"Jun 25, 1990"
218,Cub Swanson,5.08,145 lbs.,"70""",Orthodox,"Nov 02, 1983"
219,Charles Jourdain,5.09,135 lbs.,"69""",Switch,"Nov 27, 1995"
220,Payton Talbott,5.01,135 lbs.,"70""",Switch,"Sep 09, 1998"
221,Yanis Ghemmouri,5.09,135 lbs.,"69""",Orthodox,"Jan 24, 1995"
222,Gillian Robertson,5.05,115 lbs.,"63""",Orthodox,"May 17, 1995"
223,Michelle Waterson-Gomez,5.03,115 lbs.,"62""",Orthodox,"Jan 06, 1986"
224,Martin Buday,6.04,265 lbs.,"77""",Orthodox,"Nov 11, 1991"
225,Andrei Arlovski,6.03,240 lbs.,"77""",Orthodox,"Feb 04, 1979"
226,Rei Tsuruya,5.06,125 lbs.,"68""",Orthodox,"Jun 22, 2002"
227,Carlos Hernandez,5.08,125 lbs.,"67""",Orthodox,"Oct 25, 1993"
228,Vinicius Oliveira,5.09,135 lbs.,"70""",Switch,"Nov 30, 1995"
229,Ricky Simon,5.06,135 lbs.,"69""",Orthodox,"Aug 31, 1992"
230,Robert Whittaker,6.0,185 lbs.,"73""",Orthodox,"Dec 20, 1990"
231,Ikram Aliskerov,6.0,185 lbs.,"76""",Southpaw,"Dec 07, 1992"
232,Alexander Volkov,6.07,250 lbs.,"80""",Orthodox,"Oct 24, 1988"
233,Sergei Pavlovich,6.03,257 lbs.,"84""",Southpaw,"May 13, 1992"
234,Kelvin Gastelum,5.09,170 lbs.,"71""",Southpaw,"Oct 24, 1991"
235,Daniel Rodriguez,6.01,170 lbs.,"74""",Southpaw,"Dec 31, 1986"
236,Antonio Trocoli,6.05,185 lbs.,"80""",Orthodox,"Dec 06, 1990"
237,Volkan Oezdemir,6.02,205 lbs.,"75""",Orthodox,"Sep 19, 1989"
238,Johnny Walker,6.06,205 lbs.,"82""",Orthodox,"Mar 30, 1992"
239,Nasrat Haqparast,5.01,155 lbs.,"72""",Southpaw,"Aug 22, 1995"
240,Jared Gordon,5.09,155 lbs.,"68""",Orthodox,"Sep 06, 1988"
241,Felipe Lima,5.06,145 lbs.,"68""",Orthodox,"May 07, 1998"
242,Muhammad Naimov,5.09,145 lbs.,"70""",Orthodox,"Aug 07, 1994"
243,Rinat Fakhretdinov,6.0,170 lbs.,"74""",Orthodox,"Sep 28, 1991"
244,Nicolas Dalby,5.01,170 lbs.,"74""",Orthodox,"Nov 16, 1984"
245,Muin Gafurov,5.07,135 lbs.,"68""",Southpaw,"May 17, 1996"
246,Kyung Ho Kang,5.09,135 lbs.,"73""",Orthodox,"Sep 09, 1987"
247,Magomed Gadzhiyasulov,6.02,205 lbs.,"75""",Orthodox,"Nov 04, 1993"
248,Brendson Ribeiro,6.03,205 lbs.,"81""",Orthodox,"Sep 08, 1996"
249,ChangHo Lee,5.08,135 lbs.,"69""",Orthodox,"May 09, 1994"
250,Xiao Long,5.08,135 lbs.,"70""",Orthodox,"Apr 13, 1998"
251,Tatsuro Taira,5.07,125 lbs.,"70""",Orthodox,"Jan 27, 2000"
252,Alex Perez,5.06,125 lbs.,"65""",Orthodox,"Mar 21, 1992"
253,Miles Johns,5.07,135 lbs.,"66""",Orthodox,"Mar 30, 1994"
254,Douglas Silva de Andrade,5.07,135 lbs.,"68""",Orthodox,"Jun 22, 1985"
255,Lucas Almeida,5.01,145 lbs.,"71""",Orthodox,"Jan 31, 1991"
256,Timmy Cuamba,5.09,145 lbs.,"71""",Orthodox,"Feb 08, 1999"
257,Brady Hiestand,5.08,135 lbs.,"71""",Orthodox,"Apr 30, 1999"
258,Garrett Armfield,5.06,135 lbs.,"70""",Orthodox,"Oct 09, 1996"
259,Asu Almabayev,5.04,125 lbs.,"65""",Orthodox,"Jan 25, 1994"
260,Jose Johnson,6.0,125 lbs.,"71""",Orthodox,"May 20, 1995"
261,Adam Fugitt,6.01,170 lbs.,"77""",Southpaw,"Jan 12, 1989"
262,Josh Quinlan,6.0,170 lbs.,"72""",Orthodox,"Feb 06, 1993"
263,Nate Maness,5.01,125 lbs.,"72""",Orthodox,"Jun 27, 1991"
264,Jimmy Flick,5.07,125 lbs.,"68""",Orthodox,"Sep 07, 1990"
265,Gabriella Fernandes,5.06,125 lbs.,"66""",Southpaw,"Aug 13, 1993"
266,Carli Judice,5.07,125 lbs.,"68""",Southpaw,"Mar 02, 1999"
267,Westin Wilson,6.01,145 lbs.,"73""",Southpaw,"Jan 24, 1989"
268,Jeka Saragih,5.08,145 lbs.,"69""",Orthodox,"Jan 01, 1995"
269,Melquizael Costa,5.01,145 lbs.,"71""",Southpaw,"Sep 14, 1996"
270,Shayilan Nuerdanbieke,5.08,145 lbs.,"69""",Orthodox,"May 04, 1994"
271,Josefine Knutsson,5.03,115 lbs.,"60""",Orthodox,"Jan 16, 1996"
272,Julia Polastri,5.02,115 lbs.,"63""",Orthodox,"Mar 05, 1998"
273,Nassourdine Imavov,6.03,185 lbs.,"75""",Orthodox,"Mar 01, 1995"
274,Dominick Reyes,6.04,205 lbs.,"77""",Southpaw,"Dec 26, 1989"
275,Dustin Jacoby,6.03,205 lbs.,"76""",Orthodox,"Apr 04, 1988"
276,Ricky Turcios,5.09,135 lbs.,"71""",Orthodox,"Jun 05, 1993"
277,Brunno Ferreira,5.01,185 lbs.,"72""",Orthodox,"Nov 04, 1992"
278,Dustin Stoltzfus,6.0,185 lbs.,"75""",Orthodox,"Nov 15, 1991"
279,Julian Marquez,6.02,185 lbs.,"72""",Orthodox,"May 08, 1990"
280,Punahele Soriano,5.01,170 lbs.,"72""",Southpaw,"Nov 22, 1992"
281,Miguel Baeza,6.02,170 lbs.,"74""",Orthodox,"Aug 23, 1992"
282,Ludovit Klein,5.07,155 lbs.,"72""",Southpaw,"Feb 22, 1995"
283,Thiago Moises,5.09,155 lbs.,"70""",Orthodox,"Mar 23, 1995"
284,Charles Radtke,5.09,170 lbs.,"72""",Orthodox,"Jul 09, 1990"
285,Brad Katona,5.06,135 lbs.,"64""",Orthodox,"Dec 19, 1991"
286,Jesse Butler,5.01,135 lbs.,"73""",Orthodox,"May 24, 1992"
287,Montana De La Rosa,5.07,125 lbs.,"68""",Orthodox,"Feb 14, 1995"
288,Andrea Lee,5.06,125 lbs.,"69""",Orthodox,"Feb 11, 1989"
289,Daniel Marcos,5.07,135 lbs.,"69""",Orthodox,"Mar 07, 1993"
290,John Castaneda,5.06,135 lbs.,"71""",Switch,"Dec 18, 1991"
291,Denise Gomes,5.02,115 lbs.,"63""",Orthodox,"Dec 30, 1999"
292,Eduarda Moura,5.06,125 lbs.,"66""",Orthodox,"Feb 28, 1994"
293,Taylor Lapilus,5.06,135 lbs.,"73""",Southpaw,"Apr 08, 1992"
294,Cody Stamann,5.06,135 lbs.,"64""",Orthodox,"Nov 09, 1989"
295,Puja Tomar,5.04,115 lbs.,"59""",Southpaw,"Dec 05, 1993"
296,Rayanne dos Santos,5.02,115 lbs.,"62""",Orthodox,"Jun 08, 1995"
297,Islam Makhachev,5.01,155 lbs.,"70""",Southpaw,"Oct 27, 1991"
298,Dustin Poirier,5.09,155 lbs.,"72""",Southpaw,"Jan 19, 1989"
299,Sean Strickland,6.01,185 lbs.,"76""",Orthodox,"Feb 27, 1991"
300,Paulo Costa,6.01,185 lbs.,"72""",Orthodox,"Apr 21, 1991"
301,Kevin Holland,6.03,185 lbs.,"81""",Orthodox,"Nov 05, 1992"
302,Niko Price,6.0,170 lbs.,"76""",Orthodox,"Sep 29, 1989"
303,Alex Morono,5.01,170 lbs.,"72""",Orthodox,"Aug 16, 1990"
304,Randy Brown,6.03,170 lbs.,"78""",Orthodox,"Jul 08, 1990"
305,Elizeu Zaleski dos Santos,5.01,170 lbs.,"73""",Orthodox,"Dec 11, 1986"
306,Roman Kopylov,6.0,185 lbs.,"75""",Southpaw,"May 04, 1991"
307,Cesar Almeida,6.01,185 lbs.,"74""",Orthodox,"Mar 28, 1988"
308,Jailton Almeida,6.03,205 lbs.,"79""",Orthodox,"Jun 26, 1991"
309,Alexandr Romanov,6.02,262 lbs.,"75""",Southpaw,"Dec 11, 1990"
310,Grant Dawson,5.01,155 lbs.,"72""",Switch,"Feb 20, 1994"
311,Joe Solecki,5.09,155 lbs.,"70""",Orthodox,"Aug 27, 1993"
312,Jake Matthews,5.01,170 lbs.,"73""",Orthodox,"Aug 19, 1994"
313,Phil Rowe,6.03,170 lbs.,"80""",Orthodox,"Jul 18, 1990"
314,Bassil Hafez,5.01,170 lbs.,"72""",Orthodox,"Jan 31, 1992"
315,Mickey Gall,6.02,170 lbs.,"74""",Switch,"Jan 22, 1992"
316,Ailin Perez,5.05,135 lbs.,"66""",Switch,"Oct 05, 1994"
317,Joselyne Edwards,5.08,135 lbs.,"70""",Orthodox,"Sep 29, 1995"
318,Mitch Raposo,5.05,125 lbs.,"64""",Switch,"Oct 16, 1998"
